"fire_statement_json","smoke_statement_json","special_statement_json","fire_statement_json_es","smoke_statement_json_es","special_statement_json_es"
"{""statement"":""The <a href='https://inciweb.wildfire.gov/' target='_blank'>Demo</a> fire is currently estimated at 200 acres and is 15% contained. Fire activity for the <a href='https://inciweb.wildfire.gov/' target='_blank'>Demo</a> fire is expected to remain active."",""discussion"":""The Yellow Lake Fire is at 16,053 acres and 10% containment. Cloud cover helped to moderate fire spread on Tuesday, but warmer and dryer conditions are on the way Wednesday and Thursday. As a result of the challenging fire weather and an extremely dry forest, smoke will be present for the foreseeable future.""}","{""statement"":"""",""discussion"":""A stable airmass means a little more smoke could drift westward by midday and then again in the overnight hours. Expect MODERATE conditions in most of Summit and Wasatch county. Kamas, Francis, Woodland, and Jordanelle reservoir will see a little heavier smoke. Hanna and Tabiona are likely to be at UNHEALTHY levels Wednesday. Farther east in the Uinta Basin expect MODERATE conditions. A silver lining is most locations have been seeing some hours of GOOD conditions in the afternoon and evening, and this is expected to continue.""}","{""alerts"":""AIR QUALITY ADVISORY: Issued for Test County<br />HEAT ADVISORY: Warning for the county of Lincoln<br />ROADWAY HAZARD: Superfog warning issued for Demo Hwy<br />"",""discussion"":""The Northern Park has closed the SW entrance. Visitors please be advised to follow park's directions to alternate entrances.""}","{""statement"":""El incendio <a href='https://inciweb.wildfire.gov/' target='_blank'>Demo</a> actualmente tiene 200 acres y está contenido en un 15%. Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/' target='_blank'>Demo</a> continúe."",""discussion"":""El incendio de Yellow Lake abarca 16,053 acres y tiene un 10% de contención. La cobertura de nubes ayudó a moderar la propagación del fuego el martes, pero se esperan condiciones más cálidas y secas para el miércoles y jueves. Como resultado del desafiante clima de incendios y un bosque extremadamente seco, el humo estará presente en el futuro previsible.""}","{""statement"":"""",""discussion"":""Una masa de aire estable significa que un poco más de humo podría desplazarse hacia el oeste al mediodía y luego nuevamente en las horas de la noche. Espere condiciones MODERADAS en la mayoría de los condados de Summit y Wasatch. Kamas, Francis, Woodland y el embalse de Jordanelle verán un humo un poco más denso. Hanna y Tabiona probablemente estarán en niveles INSALUBRES el miércoles. Más al este en la Cuenca de Uinta, espere condiciones MODERADAS. Un aspecto positivo es que la mayoría de las ubicaciones han estado experimentando algunas horas de condiciones BUENAS por la tarde y la noche, y se espera que esto continúe.""}","{""alerts"":""ADVERTENCIA DE CALIDAD DEL AIRE: Emitido para el Condado de Test<br />ADVERTENCIA DE CALOR: Advertencia para el condado de Lincoln<br />PELIGRO EN LA CARRETERA: Advertencia de superfog emitida para Demo Hwy.<br />"",""discussion"":""El Parque del Norte ha cerrado la entrada SO. Se les pide a los visitantes que sigan las indicaciones del parque hacia las entradas alternativas.""}"
"{""statement"":""The <a href='https://inciweb.wildfire.gov/' target='_blank'>Demo</a> fire is currently estimated at 200 acres and is 15% contained. Fire activity for the <a href='https://inciweb.wildfire.gov/' target='_blank'>Demo</a> fire is expected to remain active."",""discussion"":""The Yellow Lake Fire is at 16,053 acres and 10% containment. Cloud cover helped to moderate fire spread on Tuesday, but warmer and dryer conditions are on the way Wednesday and Thursday. As a result of the challenging fire weather and an extremely dry forest, smoke will be present for the foreseeable future.""}","{""statement"":"""",""discussion"":""A stable airmass means a little more smoke could drift westward by midday and then again in the overnight hours. Expect MODERATE conditions in most of Summit and Wasatch county. Kamas, Francis, Woodland, and Jordanelle reservoir will see a little heavier smoke. Hanna and Tabiona are likely to be at UNHEALTHY levels Wednesday. Farther east in the Uinta Basin expect MODERATE conditions. A silver lining is most locations have been seeing some hours of GOOD conditions in the afternoon and evening, and this is expected to continue.""}","{""alerts"":""AIR QUALITY ADVISORY: Issued for Test County<br />HEAT ADVISORY: Warning for the county of Lincoln<br />ROADWAY HAZARD: Superfog warning issued for Demo Hwy<br />"",""discussion"":""The Northern Park has closed the SW entrance. Visitors please be advised to follow park's directions to alternate entrances.""}","{""statement"":""El incendio <a href='https://inciweb.wildfire.gov/' target='_blank'>Demo</a> actualmente tiene 200 acres y está contenido en un 15%. Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/' target='_blank'>Demo</a> continúe."",""discussion"":""El incendio de Yellow Lake abarca 16,053 acres y tiene un 10% de contención. La cobertura de nubes ayudó a moderar la propagación del fuego el martes, pero se esperan condiciones más cálidas y secas para el miércoles y jueves. Como resultado del desafiante clima de incendios y un bosque extremadamente seco, el humo estará presente en el futuro previsible.""}","{""statement"":"""",""discussion"":""Una masa de aire estable significa que un poco más de humo podría desplazarse hacia el oeste al mediodía y luego nuevamente en las horas nocturnas. Espere condiciones MODERADAS en la mayoría de los condados de Summit y Wasatch. Kamas, Francis, Woodland y el embalse de Jordanelle verán un humo un poco más denso. Hanna y Tabiona probablemente tendrán niveles INSALUBRES el miércoles. Más al este, en la cuenca de Uinta, espere condiciones MODERADAS. Un aspecto positivo es que la mayoría de las ubicaciones han estado experimentando algunas horas de condiciones BUENAS por la tarde y la noche, y se espera que esto continúe.""}","{""alerts"":""ADVERTENCIA DE CALIDAD DEL AIRE: Emitido para el Condado de Test<br />ADVERTENCIA DE CALOR: Advertencia para el condado de Lincoln<br />PELIGRO EN LA CARRETERA: Advertencia de superfog emitida para Demo Hwy<br />"",""discussion"":""El Parque del Norte ha cerrado la entrada SO. Se informa a los visitantes que sigan las indicaciones del parque hacia las entradas alternativas.""}"
"{""statement"":""The <a href='https://inciweb.wildfire.gov/' target='_blank'>Demo</a> fire is currently estimated at 200 acres and is 15% contained. Fire activity for the <a href='https://inciweb.wildfire.gov/' target='_blank'>Demo</a> fire is expected to remain active."",""discussion"":""The Yellow Lake Fire is at 16,053 acres and 10% containment. Cloud cover helped to moderate fire spread on Tuesday, but warmer and dryer conditions are on the way Wednesday and Thursday. As a result of the challenging fire weather and an extremely dry forest, smoke will be present for the foreseeable future.""}","{""statement"":"""",""discussion"":""A stable airmass means a little more smoke could drift westward by midday and then again in the overnight hours. Expect MODERATE conditions in most of Summit and Wasatch county. Kamas, Francis, Woodland, and Jordanelle reservoir will see a little heavier smoke. Hanna and Tabiona are likely to be at UNHEALTHY levels Wednesday. Farther east in the Uinta Basin expect MODERATE conditions. A silver lining is most locations have been seeing some hours of GOOD conditions in the afternoon and evening, and this is expected to continue.""}","{""alerts"":""AIR QUALITY ADVISORY: Issued for Test County<br />HEAT ADVISORY: Warning for the county of Lincoln<br />ROADWAY HAZARD: Superfog warning issued for Demo Hwy<br />"",""discussion"":""The Northern Park has closed the SW entrance. Visitors please be advised to follow park's directions to alternate entrances.""}","{""statement"":""El incendio <a href='https://inciweb.wildfire.gov/' target='_blank'>Demo</a> actualmente tiene 200 acres y está contenido en un 15%. Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/' target='_blank'>Demo</a> continúe."",""discussion"":""El incendio de Yellow Lake está en 16,053 acres y un 10% contenido. La cobertura de nubes ayudó a moderar la propagación del fuego el martes, pero se esperan condiciones más cálidas y secas para el miércoles y jueves. Como resultado del desafiante clima de incendios y un bosque extremadamente seco, el humo estará presente en el futuro previsible.""}","{""statement"":"""",""discussion"":""Una masa de aire estable significa que un poco más de humo podría desplazarse hacia el oeste hacia el mediodía y luego nuevamente en las horas nocturnas. Espere condiciones MODERADAS en la mayoría de los condados de Summit y Wasatch. Kamas, Francis, Woodland y el embalse de Jordanelle verán un humo un poco más denso. Hanna y Tabiona probablemente estarán en niveles INSALUBRES el miércoles. Más hacia el este en la Cuenca Uinta, espere condiciones MODERADAS. Un aspecto positivo es que la mayoría de las ubicaciones han estado experimentando algunas horas de condiciones BUENAS por la tarde y la noche, y se espera que esto continúe.""}","{""alerts"":""ADVERTENCIA DE CALIDAD DEL AIRE: Emitido para el Condado de Test<br />ADVERTENCIA DE CALOR: Advertencia para el condado de Lincoln<br />PELIGRO EN LA CARRETERA: Advertencia de superfog emitida para Demo Hwy<br />"",""discussion"":""El Parque del Norte ha cerrado la entrada SO. Se les pide a los visitantes que sigan las indicaciones del parque hacia otras entradas alternativas.""}"
"{""statement"":""The <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> fire is currently estimated at 4186 acres and is 8% contained. Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> fire is expected to remain active."",""discussion"":""Fire behavior is currently minimal, yet red flag conditions persisting through Sunday will lower relative humidity and dry fuels thus increasing growth potential""}","{""statement"":"""",""discussion"":""Smoke production could increase today with continued red flag conditions with smoke affecting communities in south of the fire. Yesterdays respite of GOOD AQI could change with continued high wind conditions, increasing temperatures, which lower relative humidity and dry forest fuels. Communities north, east, and west of the Shoe should experience GOOD AQI today.""}","{""alerts"":""LOCAL ADVISORY: Red Flag Warning (<a href='https://www.weather.gov/wrh/CAFW' target='_blank'>more info</a>)"",""discussion"":""RED FLAG WARNING in effect from 1100 Thursday through 1700 Saturday for gusty winds and low humidity""}","{""statement"":""El incendio <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> actualmente tiene 4186 acres y está contenido en un 8%. Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> continúe."",""discussion"":""El comportamiento del fuego es actualmente mínimo, sin embargo, las condiciones de alerta roja que persisten hasta el domingo disminuirán la humedad relativa y secarán los combustibles, aumentando así el potencial de crecimiento.""}","{""statement"":"""",""discussion"":""La producción de humo podría aumentar hoy debido a la continuación de condiciones de alerta roja, afectando a las comunidades al sur del incendio. El respiro de AQI BUENO de ayer podría cambiar con la continuación de condiciones de vientos fuertes, aumento de temperaturas, lo que reduce la humedad relativa y seca los combustibles forestales. Las comunidades al norte, este y oeste del Shoe deberían experimentar un AQI BUENO hoy.""}","{""alerts"":""ADVERTENCIA LOCAL: Advertencia de Bandera Roja (<a href='https://www.weather.gov/wrh/CAFW' target='_blank'>más información</a>)"",""discussion"":""ADVERTENCIA DE BANDERA ROJA en efecto desde las 1100 del jueves hasta las 1700 del sábado por vientos racheados y baja humedad.""}"
"{""statement"":""The <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> fire is currently estimated at 4385 acres and is 8% contained. Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> fire is expected to remain active."",""discussion"":""The Shoe Fire fire is currently estimated at 4385 acres and is 8% contained. Red flag conditions continue today increasing growth potential of this incident. Fire behavior will continue to increase with strong winds and lower humidity levels down into the teens. Increased surface fire spread and higher probability of spotting possible with high wind gusts when aligned with slope.""}","{""statement"":"""",""discussion"":""Communities east of the Shoe Fire should see GOOD conditions today. Oak Run may oscillate between GOOD and MODERATE as the afternoon progresses. Yesterday smoke tracked south through the Sacramento River corridor moving east of I-5. A similar pattern is set-up for today. Of note, conditions along the southern portion of Shasta Lake (eg., Silverthorn Resort) could experience elevated PM2.5 possibly in the UNH-to-HAZARDOUS. Tomorrow winds shift out of the SW in the late morning moving smoke NE.""}","{""alerts"":""LOCAL ADVISORY: Red Flag Warning (<a href='https://www.weather.gov/wrh/CAFW' target='_blank'>more info</a>)"",""discussion"":""RED FLAG WARNING in effect from 1100 Thursday through 1700 Saturday for gusty winds and low humidity""}","{""statement"":""El incendio <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> actualmente tiene 4385 acres y está contenido en un 8%. Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> continúe."",""discussion"":""El incendio Shoe Fire se estima actualmente en 4,385 acres y está contenido en un 8%. Las condiciones de Bandera Roja continúan hoy, aumentando el potencial de crecimiento de este incidente. El comportamiento del fuego seguirá aumentando con vientos fuertes y niveles de humedad más bajos hasta alcanzar valores en las décimas. Aumentará la propagación del fuego superficial y mayor probabilidad de posibles focos de calor con las ráfagas de viento fuerte cuando estén alineadas con la pendiente.""}","{""statement"":"""",""discussion"":""Las comunidades al este del Incendio Shoe deberían ver condiciones BUENAS hoy. Oak Run puede oscilar entre BUENO y MODERADO a medida que avance la tarde. Ayer, el humo se desplazó hacia el sur a través del corredor del río Sacramento moviéndose al este de la I-5. Un patrón similar está establecido para hoy. Cabe destacar que las condiciones a lo largo de la parte sur del lago Shasta (por ejemplo, Silverthorn Resort) podrían experimentar PM2.5 elevado posiblemente de INSALUBRE a PELIGROSO. Mañana los vientos cambiarán del suroeste a finales de la mañana, moviendo el humo hacia el noreste.""}","{""alerts"":""ADVERTENCIA LOCAL: Aviso de Bandera Roja (<a href='https://www.weather.gov/wrh/CAFW' target='_blank'>más información</a>)"",""discussion"":""AVISO DE BANDERA ROJA en efecto desde las 11:00 am del jueves hasta las 5:00pm del sábado por ráfagas de viento y baja humedad.""}"
"{""statement"":""The <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> fire is currently estimated at 4385 acres and is 8% contained. Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> fire is expected to remain active."",""discussion"":""The Shoe Fire fire is currently estimated at 4385 acres and is 8% contained. Red flag conditions continue today increasing growth potential of this incident. Fire behavior will continue to increase with strong winds and lower humidity levels down into the teens. Increased surface fire spread and higher probability of spotting possible with high wind gusts when aligned with slope.""}","{""statement"":"""",""discussion"":""Communities east of the Shoe Fire should see GOOD conditions today. Oak Run may oscillate between GOOD and MODERATE as the afternoon progresses. Yesterday smoke tracked south through the Sacramento River corridor moving east of I-5. A similar pattern is set-up for today. Of note, conditions along the southern portion of Shasta Lake (eg., Silverthorn Resort) could experience elevated PM2.5 possibly in the UNH-to-HAZARDOUS. Tomorrow winds shift out of the SW in the late morning moving smoke NE.""}","{""alerts"":""LOCAL ADVISORY: Red Flag Warning (<a href='https://www.weather.gov/wrh/CAFW' target='_blank'>more info</a>)"",""discussion"":""RED FLAG WARNING in effect from 1100 Thursday through 1700 Saturday for gusty winds and low humidity""}","{""statement"":""El incendio <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> actualmente tiene 4385 acres y está contenido en un 8%. Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> continúe."",""discussion"":""El incendio de Shoe Fire se estima actualmente en 4385 acres y está contenido en un 8%. Las condiciones de bandera roja continúan hoy, aumentando el potencial de crecimiento de este incidente. El comportamiento del fuego seguirá aumentando con vientos fuertes y niveles de humedad más bajos hasta alcanzar los adolescentes. Aumento de la propagación del fuego superficial y mayor probabilidad de avistamientos posibles con ráfagas de viento alto cuando están alineadas con la pendiente.""}","{""statement"":"""",""discussion"":""Las comunidades al este del Incendio Shoe deberían ver condiciones BUENAS hoy. Oak Run puede oscilar entre BUENO y MODERADO a medida que avanza la tarde. Ayer, el humo se desplazó hacia el sur a través del corredor del río Sacramento moviéndose al este de la I-5. Un patrón similar está establecido para hoy. Cabe destacar que las condiciones a lo largo de la parte sur del lago Shasta (por ejemplo, Silverthorn Resort) podrían experimentar PM2.5 elevado posiblemente en INSALUBRE a PELIGROSA. Mañana los vientos cambiarán del suroeste a finales de la mañana, moviendo el humo hacia el noreste.""}","{""alerts"":""ADVERTENCIA LOCAL: Advertencia de Bandera Roja (<a href='https://www.weather.gov/wrh/CAFW' target='_blank'>más información</a>)"",""discussion"":""ADVERTENCIA DE BANDERA ROJA en efecto desde las 1100 del jueves hasta las 1700 del sábado por vientos racheados y baja humedad.""}"
"{""statement"":""The <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> fire is currently estimated at 4836 acres and is 22% contained. Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> fire is expected to remain active."",""discussion"":""The Shoe Fire fire is currently estimated at 4836 acres and is 22% contained. Firing operations continue to secure perimeter fire lines.""}","{""statement"":"""",""discussion"":""The system that saw strong winds from the N-NE over the last few days have diminished thus significantly reducing smoke impacts to the Redding area. Today, light morning N-NE winds will shift late morning to a terrain-driven upslope movement toward the N and NE. Later in the afternoon light SW winds will continue to move smoke out of the Redding area. Communities to the NE of the fire could see smoke impacts today (i.e., Big Bend). Expect hazy conditions in the north central valley with some residual smoke still affecting communities south of the fire.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""El incendio <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> actualmente tiene 4836 acres y está contenido en un 22%. Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> continúe."",""discussion"":""El incendio Shoe Fire se estima actualmente en 4,836 acres y está contenido en un 22%. Las operaciones de quema continúan para asegurar las líneas del perímetro del incendio.""}","{""statement"":"""",""discussion"":""El sistema que experimentó fuertes vientos del norte-noreste durante los últimos días ha disminuido, reduciendo significativamente los impactos del humo en el área de Redding. Hoy, los vientos ligeros matutinos del norte-noreste cambiarán a finales de la mañana a un movimiento ascendente impulsado por el terreno hacia el norte y noreste. Más tarde en la tarde, los ligeros vientos del suroeste continuarán moviendo el humo fuera del área de Redding. Las comunidades al noreste del incendio podrían ver impactos de humo hoy (por ejemplo, Big Bend). Se esperan condiciones brumosas en el valle central norte con algo de humo residual aún afectando a las comunidades al sur del incendio.""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""The <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> fire is currently estimated at 4836 acres and is 22% contained. Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> fire is expected to remain active."",""discussion"":""The Shoe Fire fire is currently estimated at 4836 acres and is 22% contained. Firing operations continue to secure perimeter fire lines.""}","{""statement"":"""",""discussion"":""The system that saw strong winds from the N-NE over the last few days have diminished thus significantly reducing smoke impacts to the Redding area. Today, light morning N-NE winds will shift late morning to a terrain-driven upslope movement toward the N and NE. Later in the afternoon light SW winds will continue to move smoke out of the Redding area. Communities to the NE of the fire could see smoke impacts today (i.e., Big Bend). Expect hazy conditions in the north central valley with some residual smoke still affecting communities south of the fire.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""El incendio <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> actualmente tiene 4836 acres y está contenido en un 22%. Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> continúe."",""discussion"":""El incendio Shoe Fire se estima actualmente en 4836 acres y está contenido en un 22%. Las operaciones de quema continúan para asegurar las líneas perimetrales del incendio.""}","{""statement"":"""",""discussion"":""El sistema que experimentó fuertes vientos del N-NE durante los últimos días ha disminuido, reduciendo significativamente los impactos del humo en el área de Redding. Hoy, los ligeros vientos matutinos del N-NE cambiarán a finales de la mañana a un movimiento ascendente impulsado por el terreno hacia el N y NE. Más tarde en la tarde, los ligeros vientos del SO continuarán moviendo el humo fuera del área de Redding. Las comunidades al NE del incendio podrían ver impactos de humo hoy (por ejemplo, Big Bend). Espere condiciones brumosas en el valle central norte con algo de humo residual aún afectando a las comunidades al sur del incendio.""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""The <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> fire is currently estimated at 5099 acres and is 22% contained. Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> fire is expected to remain active."",""discussion"":""The Shoe Fire fire is currently estimated at 5099 acres and is 22% contained. The fire footprint increased 263 acres primarily from the southwestern section. Crews continue line containment through back burning and monitoring.""}","{""statement"":"""",""discussion"":""Terrain-driven morning winds will move smoke downslope towards the Redding area in the early AM hours. Winds from the S-SW will move smoke beginning in late morning through the duration of the day to the N-NE eventually shifting back toward the S in the late evening. Smoke will continue to enter the Redding area today where some communities (i.e., Bella Vista) may fluctuate between USG and GOOD. Expect communities farther south down-valley to see improved AQI (i.e., Cottonwood, Red Bluff). Areas immediately adjacent to the southern section of Shasta Lake may spike into UNH and VUNH in the early AM. Mt Shasta saw MODERATE yesterday and will likely hit MODERATE conditions again today. Terrain-driven morning winds will move smoke downslope towards the Redding area in the early AM hours. Winds from the S-SW will move smoke beginning in late morning through the duration of the day to the N-NE eventually shifting back toward the S in the late evening. Smoke will continue to enter the Redding area today where some communities (i.e., Bella Vista) may fluctuate between USG and GOOD. Expect communities farther south down-valley to see improved AQI (i.e., Cottonwood, Red Bluff). Areas immediately adjacent to the southern section of Shasta Lake may spike into UNH and VUNH in the early AM. Mt Shasta saw MODERATE yesterday and will likely hit MODERATE conditions again today.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""El incendio <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> actualmente tiene 5099 acres y está contenido en un 22%. Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> continúe."",""discussion"":""El incendio Shoe Fire se estima actualmente en 5,099 acres y está contenido en un 22%. La huella del incendio aumentó 263 acres principalmente desde la sección suroeste. Los equipos continúan con el mantenimiento de la línea de contención a través de quemas controladas y monitoreo.""}","{""statement"":"""",""discussion"":""Los vientos matutinos impulsados por el terreno moverán el humo cuesta abajo hacia el área de Redding en las primeras horas de la mañana. Los vientos del sur-suroeste moverán el humo comenzando a última hora de la mañana durante la duración del día hacia el norte-noreste, eventualmente cambiando de nuevo hacia el sur al anochecer. El humo continuará ingresando al área de Redding hoy, donde algunas comunidades (por ejemplo, Bella Vista) pueden fluctuar entre IGS y BUENO. Se espera que las comunidades más al sur en el valle vean una mejora en el AQI (por ejemplo, Cottonwood, Red Bluff). Las áreas inmediatamente adyacentes a la sección sur de Shasta Lake pueden experimentar picos en INSALUBRE y MUY INSALUBRE en las primeras horas de la mañana. Mt Shasta tuvo condiciones MODERADAS ayer y probablemente alcanzará condiciones MODERADAS nuevamente hoy.""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""The <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> fire is currently estimated at 5099 acres and is 22% contained. Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> fire is expected to remain active."",""discussion"":""The Shoe Fire fire is currently estimated at 5099 acres and is 22% contained. The fire footprint increased 263 acres primarily from the southwestern section. Crews continue line containment through back burning and monitoring.""}","{""statement"":"""",""discussion"":""Terrain-driven morning winds will move smoke downslope towards the Redding area in the early AM hours. Winds from the S-SW will move smoke beginning in late morning through the duration of the day to the N-NE eventually shifting back toward the S in the late evening. Smoke will continue to enter the Redding area today where some communities (i.e., Bella Vista) may fluctuate between USG and GOOD. Expect communities farther south down-valley to see improved AQI (i.e., Cottonwood, Red Bluff). Areas immediately adjacent to the southern section of Shasta Lake may spike into UNH and VUNH in the early AM. Mt Shasta saw MODERATE yesterday and will likely hit MODERATE conditions again today. Terrain-driven morning winds will move smoke downslope towards the Redding area in the early AM hours. Winds from the S-SW will move smoke beginning in late morning through the duration of the day to the N-NE eventually shifting back toward the S in the late evening. Smoke will continue to enter the Redding area today where some communities (i.e., Bella Vista) may fluctuate between USG and GOOD. Expect communities farther south down-valley to see improved AQI (i.e., Cottonwood, Red Bluff). Areas immediately adjacent to the southern section of Shasta Lake may spike into UNH and VUNH in the early AM. Mt Shasta saw MODERATE yesterday and will likely hit MODERATE conditions again today.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""El incendio <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> actualmente tiene 5099 acres y está contenido en un 22%. Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/cashf-shoe-fire' target='_blank'>Shoe Fire</a> continúe."",""discussion"":""El incendio Shoe Fire se estima actualmente en 5099 acres y está contenido en un 22%. La huella del incendio aumentó 263 acres principalmente desde la sección suroeste. Los equipos continúan con el mantenimiento de la línea de contención a través de quemas controladas y monitoreo.""}","{""statement"":"""",""discussion"":""Los vientos matutinos impulsados por el terreno moverán el humo hacia abajo hacia el área de Redding en las primeras horas de la mañana. Los vientos del S-SO moverán el humo comenzando a última hora de la mañana durante la duración del día hacia el N-NE, eventualmente cambiando de nuevo hacia el S en la tarde noche. El humo continuará ingresando al área de Redding hoy, donde algunas comunidades (por ejemplo, Bella Vista) pueden fluctuar entre IGS y BUENO. Espere que las comunidades más al sur en el valle vean una mejora en el AQI (por ejemplo, Cottonwood, Red Bluff). Las áreas inmediatamente adyacentes a la sección sur del Lago Shasta pueden experimentar picos en INSALUBRE y MUY INSALUBRE en las primeras horas de la mañana. Mt Shasta tuvo condiciones MODERADAS ayer y probablemente alcanzará condiciones MODERADAS nuevamente hoy.""}","{""alerts"":"""",""discussion"":""""}"
