"forecast_summary","today_comment","tomorrow_comment","extended_comment","forecast_summary_es","today_comment_es","tomorrow_comment_es","extended_comment_es"
"Noticeable smoke, some improvement late afternoon.","Smoky to start the day. A few hours of better air are expected in the evening","UNHEALTHY conditions in the morning, should increase slowly into late afternoon","Smoke likely to be in the air this weekend.","Humo notable, alguna mejora a última hora de la tarde.","Ahumado para comenzar el día. Se esperan unas horas de mejor calidad del aire en la tarde.","Condiciones INSALUBRES por la mañana, deberían aumentar lentamente hasta el final de la tarde.","Es probable que haya humo en el aire este fin de semana."
"GOOD air quality overall, potential for brief periods of MODERATE.","","MODERATE air quality based on regional forecast, no smoke impacts from nearby fires","Smoke likely to be in the air this weekend.","Calidad del aire BUENO en general, con potencial de breves períodos de MODERADA.","","Calidad del aire MODERADA según el pronóstico regional, sin impactos de humo de incendios cercanos.","Es probable que haya humo en el aire este fin de semana."
"Smoke will linger, brief improvement late afternoon.","Smoky to start the day. A few hours of better air are expected in the evening.","Heavy smoke in the morning Thursday.","Smoke likely to be in the air this weekend.","El humo persistirá, breve mejora al final de la tarde.","Ahumado para comenzar el día. Se esperan unas horas de mejor calidad del aire en la tarde.","Humo denso en la mañana del jueves.","Es probable que haya humo en el aire este fin de semana."
"Noticeable smoke, some improvement late afternoon.","Smoky to start the day. A few hours of better air are expected in the evening","UNHEALTHY conditions in the morning, should increase slowly into late afternoon","Smoke likely to be in the air this weekend.","Humo notable, alguna mejora a última hora de la tarde.","Ahumado para comenzar el día. Se esperan unas horas de mejor calidad del aire en la tarde.","Condiciones INSALUBRES por la mañana, deberían aumentar lentamente hasta el final de la tarde.","Es probable que haya humo en el aire este fin de semana."
"GOOD air quality overall, potential for brief periods of MODERATE.","","MODERATE air quality based on regional forecast, no smoke impacts from nearby fires","Smoke likely to be in the air this weekend.","Calidad del aire BUENA en general, con potencial para breves períodos de MODERADA.","","Calidad del aire MODERADA según el pronóstico regional, sin impactos de humo por incendios cercanos.","Es probable que haya humo en el aire este fin de semana."
"Smoke will linger, brief improvement late afternoon.","Smoky to start the day. A few hours of better air are expected in the evening.","Heavy smoke in the morning Thursday.","Smoke likely to be in the air this weekend.","El humo persistirá, breve mejora a última hora de la tarde.","Ahumado para comenzar el día. Se esperan unas horas de mejor calidad del aire en la tarde.","Humo intenso en la mañana del jueves.","Es probable que haya humo en el aire este fin de semana."
"Expect relatively clear skies with some haze","GOOD conditions all day expected","Haze today","","Se esperan cielos relativamente despejados con algo de bruma.","Se esperan condiciones BUENAS durante todo el día.","Bruma hoy.",""
"SW winds will keep smoke from pooling in this area","Hazy today","Light haze","","Los vientos del suroeste evitarán que el humo se acumule en esta área.","Brumoso hoy.","Ligera bruma",""
"Smoke will linger, brief improvement late afternoon.","Smoky to start the day. A few hours of better air are expected in the evening.","Heavy smoke in the morning Thursday.","Smoke likely to be in the air this weekend.","El humo persistirá, breve mejora a última hora de la tarde.","Ahumado para comenzar el día. Se esperan unas horas de mejor calidad del aire en la tarde.","Humo denso en la mañana del jueves.","Es probable que haya humo en el aire este fin de semana."
"GOOD air quality overall, potential for brief periods of MODERATE.","","MODERATE air quality based on regional forecast, no smoke impacts from nearby fires","Smoke likely to be in the air this weekend.","Calidad del aire BUENO en general, con potencial para breves períodos de MODERADA.","","Calidad del aire MODERADA según el pronóstico regional, sin impactos de humo por incendios cercanos.","Es probable que haya humo en el aire este fin de semana."
